,number_of_topics,variable,value
0,10,u_mass_coherence,-2.0793481811540526
1,11,u_mass_coherence,-2.115491781869903
2,12,u_mass_coherence,-2.074979255120663
3,13,u_mass_coherence,-1.9818163130550128
4,14,u_mass_coherence,-2.061858534817608
5,15,u_mass_coherence,-2.030151902555837
6,16,u_mass_coherence,-1.9989640340170747
7,17,u_mass_coherence,-2.004065413399135
8,18,u_mass_coherence,-2.027104336962235
9,19,u_mass_coherence,-2.142492549584389
10,20,u_mass_coherence,-2.170916630851939
11,21,u_mass_coherence,-1.8563690057776416
12,22,u_mass_coherence,-2.0526168490098247
13,23,u_mass_coherence,-2.0100578763012207
14,24,u_mass_coherence,-2.0418909183606155
15,25,u_mass_coherence,-1.9746158990956137
16,26,u_mass_coherence,-2.092387784745026
17,27,u_mass_coherence,-2.1074529681884724
18,28,u_mass_coherence,-2.009590926476389
19,29,u_mass_coherence,-1.9726938043056454
20,10,c_v_coherence,0.4633946014323295
21,11,c_v_coherence,0.4527058317814372
22,12,c_v_coherence,0.4644513910791348
23,13,c_v_coherence,0.45256188687696464
24,14,c_v_coherence,0.47441677974300467
25,15,c_v_coherence,0.46666258449789794
26,16,c_v_coherence,0.46791435807817094
27,17,c_v_coherence,0.4759551343456772
28,18,c_v_coherence,0.4541813978485001
29,19,c_v_coherence,0.4646652451137604
30,20,c_v_coherence,0.47435172801934944
31,21,c_v_coherence,0.4820134146365182
32,22,c_v_coherence,0.4933616388897079
33,23,c_v_coherence,0.4612177221084147
34,24,c_v_coherence,0.4652635980129635
35,25,c_v_coherence,0.46592065910972646
36,26,c_v_coherence,0.4781290734988557
37,27,c_v_coherence,0.47783221696560213
38,28,c_v_coherence,0.4710348495757927
39,29,c_v_coherence,0.4898496113042988
